,,Subject,,,fz098,
267,43.182,Exit,3,Wait,6,
268,43.182,Entry,18,Punish,,
269,43.274,Input,38,Off1B2,,
270,44.182,Exit,18,Punish,Time,
271,44.182,Entry,3,Wait,,
272,44.307,Input,6,On1B2,,
273,44.307,Exit,3,Wait,6,
274,44.307,Entry,18,Punish,,
275,44.380,Input,38,Off1B2,,
276,44.466,Input,6,On1B2,,
277,44.549,Input,38,Off1B2,,
278,45.015,Input,6,On1B2,,
279,45.116,Input,38,Off1B2,,
280,45.307,Exit,18,Punish,Time,
281,45.307,Entry,3,Wait,,
282,45.807,Exit,3,Wait,Time,
283,45.807,List,,TrialType2,    4.000,
284,45.807,Entry,4,CueLeft,,
285,45.907,Exit,4,CueLeft,Time,
286,45.907,Entry,5,DeadLeft,,
287,46.007,Exit,5,DeadLeft,Time,
288,46.007,Entry,6,WaitForLickLeft,,
289,46.900,Input,5,On1B1,,
290,46.900,Exit,6,WaitForLickLeft,5,
291,46.900,Entry,7,HitLeft,,
292,46.901,Exit,7,HitLeft,Time,
293,46.901,Entry,16,WaterOut,,
294,46.951,Input,37,Off1B1,,
295,46.977,Exit,16,WaterOut,Time,
296,46.977,Entry,17,WaterConsumption,,
297,46.977,Reg,14,CupUp, 1925.000,
298,47.081,Input,5,On1B1,,
299,47.133,Input,37,Off1B1,,
300,48.903,Exit,17,WaterConsumption,Time,
301,48.903,Entry,19,TrialEnd,,
302,48.903,Reg,3,ActionRate,    1.000,
303,48.903,Reg,4,LeftCorrect,    1.000,
304,48.903,Reg,5,RightCorrect,    0.500,
305,48.904,Exit,19,TrialEnd,Time,
306,48.904,Entry,1,Trial,,
307,48.904,Reg,1,Trial,    6.000,
308,48.906,Exit,1,Trial,Time,
309,48.906,Entry,2,ITI,,
310,48.906,Reg,6,ITItime, 2417.063,
311,48.952,Input,5,On1B1,,
312,49.003,Input,37,Off1B1,,
313,51.325,Exit,2,ITI,Time,
314,51.325,Entry,3,Wait,,
315,51.826,Exit,3,Wait,Time,
316,51.826,List,,TrialType2,    9.000,
317,51.826,Entry,9,CueRight,,
318,51.926,Exit,9,CueRight,Time,
319,51.926,Entry,10,DeadRight,,
320,52.027,Exit,10,DeadRight,Time,
321,52.027,Entry,11,WaitForLickRight,,
322,52.049,Input,6,On1B2,,
323,52.049,Exit,11,WaitForLickRight,6,
324,52.049,Entry,12,HitRight,,
325,52.050,Exit,12,HitRight,Time,
326,52.050,Entry,16,WaterOut,,
327,52.111,Input,38,Off1B2,,
328,52.126,Exit,16,WaterOut,Time,
329,52.126,Entry,17,WaterConsumption,,
330,52.126,Reg,14,CupUp, 1925.000,
331,52.249,Input,5,On1B1,,
332,52.320,Input,37,Off1B1,,
333,52.569,Input,6,On1B2,,
334,52.631,Input,38,Off1B2,,
335,53.287,Input,6,On1B2,,
336,53.348,Input,38,Off1B2,,
337,53.459,Input,6,On1B2,,
338,53.521,Input,38,Off1B2,,
339,53.986,Input,6,On1B2,,
340,54.048,Input,38,Off1B2,,
341,54.052,Exit,17,WaterConsumption,Time,
342,54.052,Entry,19,TrialEnd,,
343,54.052,Reg,3,ActionRate,    1.000,
344,54.052,Reg,4,LeftCorrect,    1.000,
345,54.052,Reg,5,RightCorrect,    0.667,
346,54.054,Exit,19,TrialEnd,Time,
347,54.054,Entry,1,Trial,,
348,54.054,Reg,1,Trial,    7.000,
349,54.055,Exit,1,Trial,Time,
350,54.055,Entry,2,ITI,,
351,54.055,Reg,6,ITItime, 3968.335,
352,54.118,Input,6,On1B2,,
353,54.169,Input,38,Off1B2,,
354,55.665,Input,6,On1B2,,
355,55.727,Input,38,Off1B2,,
356,55.969,Input,6,On1B2,,
357,56.041,Input,38,Off1B2,,
358,56.569,Input,6,On1B2,,
359,56.630,Input,38,Off1B2,,
360,56.841,Input,6,On1B2,,
361,56.912,Input,38,Off1B2,,
362,57.145,Input,6,On1B2,,
363,57.217,Input,38,Off1B2,,
364,57.346,Input,5,On1B1,,
365,57.387,Input,37,Off1B1,,
366,57.587,Input,6,On1B2,,
367,57.660,Input,38,Off1B2,,
368,58.024,Exit,2,ITI,Time,
369,58.024,Entry,3,Wait,,
370,58.035,Input,6,On1B2,,
371,58.035,Exit,3,Wait,6,
372,58.035,Entry,18,Punish,,
373,58.117,Input,38,Off1B2,,
374,58.459,Input,6,On1B2,,
375,58.541,Input,38,Off1B2,,
376,58.858,Input,6,On1B2,,
377,58.910,Input,38,Off1B2,,
378,59.036,Input,6,On1B2,,
379,59.036,Exit,18,Punish,Time,
380,59.036,Entry,3,Wait,,
381,59.117,Input,38,Off1B2,,
382,59.274,Input,6,On1B2,,
383,59.274,Exit,3,Wait,6,
384,59.274,Entry,18,Punish,,
385,59.325,Input,38,Off1B2,,
386,59.393,Input,6,On1B2,,
387,59.475,Input,38,Off1B2,,
388,60.145,Input,6,On1B2,,
389,60.206,Input,38,Off1B2,,
390,60.274,Exit,18,Punish,Time,
391,60.274,Entry,3,Wait,,
392,60.415,Input,6,On1B2,,
393,60.415,Exit,3,Wait,6,
394,60.415,Entry,18,Punish,,
395,60.497,Input,38,Off1B2,,
396,61.008,Input,6,On1B2,,
397,61.089,Input,38,Off1B2,,
398,61.165,Input,6,On1B2,,
399,61.248,Input,38,Off1B2,,
400,61.415,Exit,18,Punish,Time,
401,61.415,Entry,3,Wait,,
402,61.915,Exit,3,Wait,Time,
403,61.915,List,,TrialType2,    4.000,
404,61.915,Entry,4,CueLeft,,
405,62.015,Exit,4,CueLeft,Time,
406,62.015,Entry,5,DeadLeft,,
407,62.115,Exit,5,DeadLeft,Time,
408,62.115,Entry,6,WaitForLickLeft,,
409,62.475,Input,5,On1B1,,
410,62.475,Exit,6,WaitForLickLeft,5,
411,62.475,Entry,7,HitLeft,,
412,62.476,Exit,7,HitLeft,Time,
413,62.476,Entry,16,WaterOut,,
414,62.516,Input,37,Off1B1,,
415,62.551,Exit,16,WaterOut,Time,
416,62.551,Entry,17,WaterConsumption,,
417,62.551,Reg,14,CupUp, 1925.000,
418,63.846,Input,6,On1B2,,
419,63.899,Input,38,Off1B2,,
420,64.175,Input,6,On1B2,,
421,64.226,Input,38,Off1B2,,
422,64.477,Exit,17,WaterConsumption,Time,
423,64.477,Entry,19,TrialEnd,,
424,64.477,Reg,3,ActionRate,    1.000,
425,64.477,Reg,4,LeftCorrect,    1.000,
426,64.477,Reg,5,RightCorrect,    0.667,
427,64.478,Exit,19,TrialEnd,Time,
428,64.478,Entry,1,Trial,,
429,64.478,Reg,1,Trial,    8.000,
430,64.480,Exit,1,Trial,Time,
431,64.480,Entry,2,ITI,,
432,64.480,Reg,6,ITItime, 2903.664,
433,66.464,Input,6,On1B2,,
434,66.535,Input,38,Off1B2,,
435,66.722,Input,6,On1B2,,
436,66.783,Input,38,Off1B2,,
437,66.974,Input,6,On1B2,,
438,67.036,Input,38,Off1B2,,
439,67.364,Input,6,On1B2,,
440,67.384,Exit,2,ITI,Time,
441,67.384,Entry,3,Wait,,
442,67.415,Input,38,Off1B2,,
443,67.884,Exit,3,Wait,Time,
444,67.884,List,,TrialType2,    9.000,
445,67.884,Entry,9,CueRight,,
446,67.984,Exit,9,CueRight,Time,
447,67.984,Entry,10,DeadRight,,
448,68.084,Exit,10,DeadRight,Time,
449,68.084,Entry,11,WaitForLickRight,,
450,68.087,Input,6,On1B2,,
451,68.087,Exit,11,WaitForLickRight,6,
452,68.087,Entry,12,HitRight,,
453,68.089,Exit,12,HitRight,Time,
454,68.089,Entry,16,WaterOut,,
455,68.149,Input,38,Off1B2,,
456,68.164,Exit,16,WaterOut,Time,
457,68.164,Entry,17,WaterConsumption,,
458,68.164,Reg,14,CupUp, 1925.000,
459,68.430,Input,6,On1B2,,
460,68.492,Input,38,Off1B2,,
461,68.965,Input,6,On1B2,,
462,69.037,Input,38,Off1B2,,
463,69.874,Input,6,On1B2,,
464,69.925,Input,38,Off1B2,,
465,70.090,Exit,17,WaterConsumption,Time,
466,70.090,Entry,19,TrialEnd,,
467,70.090,Reg,3,ActionRate,    1.000,
468,70.090,Reg,4,LeftCorrect,    1.000,
469,70.090,Reg,5,RightCorrect,    0.750,
470,70.092,Exit,19,TrialEnd,Time,
